
07_17_27,07:17:27:51,07:17:28:04,DONE
2022_12_07_21_07_26,2022:12:07:21:07:28,2022:12:07:21:07:34,DONE
2022_12_07_21_07_50,2022:12:07:21:07:52,2022:12:07:21:08:00,DONE
2022_12_07_21_08_11,2022:12:07:21:08:12,2022:12:07:21:08:20,DONE
2022_12_07_21_08_11,2022:12:07:21:13:21,2022:12:07:21:13:30,DONE
2022_12_07_21_07_50,2022:12:08:05:25:11,2022:12:08:05:25:58,DONE
2022_12_07_21_07_50,2022:12:08:05:30:41,2022:12:08:05:30:55,DONE
2022_12_07_21_07_26,2022:12:08:05:48:42,2022:12:08:05:48:56,DONE
2022_12_08_05_49_36,2022:12:08:05:49:36,2022:12:08:05:49:52,DONE
2022_12_08_05_49_36,2022:12:08:05:52:48,2022:12:08:05:53:35,DONE
2022_12_08_08_34_49,2022:12:08:08:34:49,2022:12:08:08:35:00,DONE
2022_12_07_21_07_50,2022:12:08:08:35:47,2022:12:08:08:36:07,DONE
2022_12_08_08_36_34,2022:12:08:08:36:34,2022:12:08:08:36:53,DONE
2022_12_08_08_36_34,2022:12:08:08:37:52,2022:12:08:08:37:58,DONE
2022_12_08_08_36_34,2022:12:08:08:46:01,2022:12:08:08:46:09,DONE
2022_12_07_21_08_11,2022:12:08:08:46:24,2022:12:08:08:46:49,DONE
2022_12_07_21_07_50,2022:12:08:08:47:05,2022:12:08:08:47:13,DONE
2022_12_07_21_08_11,2022:12:08:08:47:31,2022:12:08:08:47:39,DONE
2022_12_08_08_34_49,2022:12:08:08:47:52,2022:12:08:08:48:03,DONE
07_17_27,2022:12:08:08:48:18,2022:12:08:08:48:39,DONE
2022_12_08_05_49_36,2022:12:08:08:49:07,2022:12:08:08:49:27,DONE
2022_12_08_08_51_34,2022:12:08:08:51:34,2022:12:08:08:51:47,DONE
2022_12_08_08_51_34,2022:12:08:08:52:05,2022:12:08:08:52:13,DONE
2022_12_08_08_34_49,2022:12:08:08:52:36,2022:12:08:08:52:51,DONE
2022_12_07_21_07_26,2022:12:08:08:53:17,2022:12:08:08:53:26,DONE
2022_12_08_08_58_32,2022:12:08:08:58:32,2022:12:08:08:58:40,DONE
2022_12_07_21_08_11,2022:12:08:08:58:51,2022:12:08:08:59:09,DONE
2022_12_08_09_01_15,2022:12:08:09:01:15,2022:12:08:09:01:27,DONE
2022_12_08_09_01_58,2022:12:08:09:01:58,2022:12:08:09:02:10,DONE
2022_12_07_21_08_11,2022:12:08:09:04:30,2022:12:08:09:05:15,DONE
2022_12_07_21_08_11,2022:12:08:09:08:16,2022:12:08:09:08:29,DONE
2022_12_07_21_07_50,2022:12:08:09:09:47,2022:12:08:09:09:59,DONE
2022_12_08_09_13_31,2022:12:08:09:13:31,2022:12:08:09:13:39,DONE
2022_12_08_09_14_23,2022:12:08:09:14:23,2022:12:08:09:14:32,DONE
